,country,location,company,tech,component,phase,investment_value,capacity,status,dt_announce,dt_actual,dt_operational,dt_cancel,jobs,checked,reject-phase,finetune,share-investment
ITA-05889-02161_04_01_00,ITA,Priolo-Augusta,Axpo,hydrogen,green_hydrogen,initial,-,100 MW,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03684-07388_06_00_00,ITA,Puglia,BFP,solar,deployment,initial,-,1 MWp,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03732-04574_06_00_00,ITA,Lazio,BNZ,solar,deployment,initial,-,45 MW,actual,12-2021,12-2021,NA,NA,-,False,False,False,False
ITA-06240-04574_06_00_00,ITA,Viterbo,BNZ,solar,deployment,initial,-,53 MW,actual,03-2022,03-2022,NA,NA,-,False,False,False,False
ITA-06722-07332_08_07_00,ITA,Offshore substations,BW Ideol,wind,other,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-00322-02577_04_05_00,ITA,Florence,Baker Hughes,hydrogen,storage,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-00322-02577_04_05_01,ITA,Florence,Baker Hughes,hydrogen,storage,first expansion,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-05895-02577_04_00_00,ITA,Sulmona,Baker Hughes,hydrogen,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-03951-04589_06_00_00,ITA,Foggia,Barilla,solar,deployment,initial,-,-,actual,10-2020,-,NA,NA,-,False,False,False,False
ITA-03732-02167_06_00_00,ITA,Lazio,BayWa,solar,deployment,initial,€55.8 million,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-00713-02167_06_00_00,ITA,Milan,BayWa,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-00713-02167_08_00_00,ITA,Milan,BayWa,wind,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02344-02167_08_00_00,ITA,Rome,BayWa,wind,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02344-02167_06_00_00,ITA,Rome,BayWa,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-04499-02167_06_00_00,ITA,Tarquinia,BayWa,solar,deployment,initial,€56 million,53 MW,actual,03-2023,-,NA,NA,-,False,False,False,False
ITA-06782-07389_08_00_00,ITA,San Lupo,BayWa RE,wind,deployment,initial,-,48 MW,operational,-,-,09-2019,NA,-,False,False,False,False
ITA-04111-04593_06_00_00,ITA,Garbagnate,Bayer,solar,deployment,initial,-,-,announced,05-2024,NA,NA,NA,-,False,False,False,False
ITA-06723-04593_06_00_00,ITA,Garbagnate Milanese,Bayer,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06783-07390_02_00_00,ITA,Podere Paterndo,Best Local Energy Consortium,geothermal,deployment,initial,-,-,operational,-,-,04-2023,NA,-,False,False,False,False
ITA-00862-06762_06_00_00,ITA,Piedmont,Blue Elephant Energy,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-02264-06762_06_00_00,ITA,Sicily,Blue Elephant Energy,solar,deployment,initial,-,-,actual,08-2021,-,NA,NA,-,False,False,False,False
ITA-03950-07333_08_00_00,ITA,Brindisi,BlueFloat Energy,wind,deployment,initial,-,-,actual,07-2023,-,NA,NA,-,False,False,False,False
ITA-01490-07333_08_00_00,ITA,Sardinia,BlueFloat Energy,wind,deployment,initial,-,-,announced,05-2022,NA,NA,NA,-,False,False,False,False
ITA-03952-07333_04_00_00,ITA,Taranto,BlueFloat Energy,hydrogen,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06784-07391_06_00_00,ITA,Copertino,Bluenergia,solar,deployment,initial,-,1 MW,actual,10-2009,10-2009,NA,NA,-,False,False,False,False
ITA-06785-07391_06_00_00,ITA,Mesagne,Bluenergia,solar,deployment,initial,-,1 MW,announced,20-10-2009,NA,NA,NA,-,False,False,False,False
ITA-03431-04628_06_00_00,ITA,Udine,Bluenergy,solar,deployment,initial,-,1.1 MW,actual,-,02-2024,NA,NA,-,False,False,False,False
ITA-03431-04628_01_00_00,ITA,Udine,Bluenergy,battery,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-01705-01480_01_00_00,ITA,Tuscany,Brenmiller Energy,battery,deployment,initial,-,-,operational,-,-,10-2022,NA,-,True,False,True,False
ITA-06786-07392_06_00_00,ITA,Kathu,Building Energy,solar,deployment,initial,-,75 MW,actual,03-2013,03-2013,NA,NA,-,False,False,False,False
ITA-06787-07392_06_00_00,ITA,Masrik,Building Energy,solar,deployment,initial,€50 million,55 MW,actual,03-2018,03-2018,NA,NA,-,False,False,False,False
ITA-02660-07334_06_00_00,ITA,Montalto di Castro,CCE Holding,solar,deployment,initial,-,41 MW,actual,02-2022,01-2022,NA,NA,-,False,False,False,False
ITA-01490-07335_08_00_00,ITA,Sardinia,CDP Equity,wind,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-02660-07393_06_00_00,ITA,Montalto di Castro,CFR srl,solar,deployment,initial,-,72 MW,announced,09-2019,NA,NA,NA,-,False,False,False,False
ITA-06769-07394_02_00_00,ITA,Toscana,COSVIG,geothermal,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-02660-07395_06_00_00,ITA,Montalto di Castro,Camposcala Srl,solar,deployment,initial,-,54.2 MW,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03030-01510_06_00_00,ITA,Apulia,Canadian Solar,solar,deployment,initial,€55 million,151 MW,actual,03-2020,07-2020,NA,NA,-,False,False,False,False
ITA-06788-01510_06_00_00,ITA,Cavriglia,Canadian Solar,solar,deployment,initial,-,10 MW,operational,11-2011,10-2011,11-2011,NA,-,False,False,False,False
ITA-03732-01510_06_00_00,ITA,Lazio,Canadian Solar,solar,deployment,initial,€55 million,-,actual,03-2020,07-2020,NA,NA,-,False,False,False,False
ITA-06789-01510_06_04_00,ITA,Pontesura,Canadian Solar,solar,modules,initial,-,-,announced,12-2011,NA,NA,NA,-,False,False,False,False
ITA-06790-01510_06_04_00,ITA,Pozzolo Formigaro,Canadian Solar,solar,modules,initial,-,4.1 MW,announced,12-2011,NA,NA,NA,-,False,False,False,False
ITA-06739-01510_06_04_00,ITA,Rovigo,Canadian Solar,solar,modules,initial,-,70 MW,operational,01-2011,-,01-2011,NA,-,False,False,False,False
ITA-06791-01510_06_04_00,ITA,Sale,Canadian Solar,solar,modules,initial,-,1.7 MW,announced,12-2011,NA,NA,NA,-,False,False,False,False
ITA-02264-01510_06_00_00,ITA,Sicily,Canadian Solar,solar,deployment,initial,-,195 MW,actual,07-2019,-,NA,NA,-,False,False,False,False
ITA-02264-01510_06_00_01,ITA,Sicily,Canadian Solar,solar,deployment,first expansion,-,-,actual,07-2019,-,NA,NA,-,False,False,False,False
ITA-02264-01510_06_00_02,ITA,Sicily,Canadian Solar,solar,deployment,second expansion,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-02264-02732_06_00_00,ITA,Sicily,Canadian Solar Inc.,solar,deployment,initial,-,17.6 MW,operational,12-2018,-,12-2018,NA,-,False,False,False,False
ITA-02264-00967_06_00_00,ITA,Sicily,Capital Dynamics,solar,deployment,initial,-,170 MW,actual,-,-,NA,NA,-,False,False,False,False
ITA-06792-07396_06_00_00,ITA,Nola,Centro Ingrosso Sviluppo Campano,solar,deployment,initial,-,25 MW,operational,-,-,12-2015,NA,-,False,False,False,False
ITA-03732-07336_06_00_00,ITA,Lazio,Cero Generation,solar,deployment,initial,-,70 MW,actual,09-2022,-,NA,NA,-,False,False,False,False
ITA-06725-07336_06_00_00,ITA,Pontinia,Cero Generation,solar,deployment,initial,-,70 MW,actual,05-2022,05-2022,NA,NA,-,False,False,False,False
ITA-04282-04757_04_01_00,ITA,Aosta Valley,Cogne Acciai Speciali,hydrogen,green_hydrogen,initial,-,1 MW,actual,-,-,NA,NA,-,False,False,False,False
ITA-04282-04757_04_04_00,ITA,Aosta Valley,Cogne Acciai Speciali,hydrogen,electrolysers,initial,-,1 MW,actual,07-2024,-,NA,NA,-,False,False,False,False
ITA-04282-04757_06_00_00,ITA,Aosta Valley,Cogne Acciai Speciali,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-04282-04757_03_00_00,ITA,Aosta Valley,Cogne Acciai Speciali,hydroelectric,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06793-07397_06_00_00,ITA,Imola,Colexon Energy,solar,deployment,initial,-,1 MWp,actual,02-2010,02-2010,NA,NA,-,False,False,False,False
ITA-03465-02782_06_04_00,ITA,Bazzano,Comal,solar,modules,initial,€16 million,500 MW,announced,07-2024,NA,NA,NA,-,False,False,False,False
ITA-06759-02782_06_00_00,ITA,Cagliari,Comal,solar,deployment,initial,-,80 MW,announced,05-2023,NA,NA,NA,-,False,False,False,False
ITA-03466-02782_06_04_00,ITA,L’Aquila,Comal,solar,modules,initial,-,500 MW,actual,07-2024,-,NA,NA,-,False,False,False,False
ITA-03466-02782_06_02_00,ITA,L’Aquila,Comal,solar,ingot_wafers,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-03466-02782_06_03_00,ITA,L’Aquila,Comal,solar,cell,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-01490-02782_06_00_00,ITA,Sardinia,Comal,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-01490-02782_06_00_01,ITA,Sardinia,Comal,solar,deployment,first expansion,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-06794-07398_06_00_00,ITA,Macchiareddu,Comoil SA,solar,deployment,initial,-,-,announced,10-2020,NA,NA,NA,-,False,False,False,False
ITA-06734-07399_06_00_00,ITA,Campania,ContourGlobal,solar,deployment,initial,€68 million,20 MW,actual,03-2017,-,NA,NA,-,False,False,False,False
ITA-03732-07399_06_00_00,ITA,Lazio,ContourGlobal,solar,deployment,initial,€68 million,20 MW,actual,03-2017,-,NA,NA,-,False,False,False,False
ITA-06767-07399_06_00_00,ITA,Piemonte,ContourGlobal,solar,deployment,initial,€68 million,20 MW,actual,03-2017,-,NA,NA,-,False,False,False,False
ITA-03684-07399_06_00_00,ITA,Puglia,ContourGlobal,solar,deployment,initial,68 million EUR,-,actual,03-2017,-,NA,NA,-,False,False,False,False
ITA-06795-07399_06_00_00,ITA,Sabaudia,ContourGlobal,solar,deployment,initial,-,6 MW,actual,12-2010,-,NA,NA,-,False,False,False,False
ITA-02264-07399_06_00_00,ITA,Sicily,ContourGlobal,solar,deployment,initial,-,8.5 MW,actual,12-2010,01-2011,NA,NA,-,False,False,False,False
ITA-02344-07400_06_04_00,ITA,Rome,Convert Italia,solar,modules,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06726-01555_08_00_00,ITA,Civitavecchia,Copenhagen Infrastructure Partners,wind,deployment,initial,-,540 MW,announced,03-2023,NA,NA,NA,-,False,False,False,False
ITA-06727-01555_08_00_00,ITA,Olbia,Copenhagen Infrastructure Partners,wind,deployment,initial,-,-,announced,03-2023,NA,NA,NA,-,False,False,False,False
ITA-01490-01555_08_00_00,ITA,Sardinia,Copenhagen Infrastructure Partners,wind,deployment,initial,-,504 MW,actual,-,-,NA,NA,-,False,False,False,False
ITA-06726-07337_08_00_00,ITA,Civitavecchia,Copenhagen Offshore Partners,wind,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06728-07337_08_00_00,ITA,Marsala,Copenhagen Offshore Partners,wind,deployment,initial,-,-,announced,06-2023,-,NA,NA,-,True,False,True,False
ITA-01490-07337_08_00_00,ITA,Sardinia,Copenhagen Offshore Partners,wind,deployment,initial,-,504 MW,actual,-,-,NA,NA,-,False,False,False,False
ITA-03030-07401_08_00_00,ITA,Apulia,Cubico Sustainable Investments,wind,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-06734-07401_08_00_00,ITA,Campania,Cubico Sustainable Investments,wind,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-06301-07402_06_00_00,ITA,Tuscania,DCS srl,solar,deployment,initial,-,150 MW,announced,09-2019,NA,NA,NA,-,False,False,False,False
ITA-00882-00162_07_00_00,ITA,Pozzuolo Martesana,DHL Group,vehicle,deployment,initial,-,-,operational,-,-,05-2024,NA,-,False,False,False,False
ITA-06301-07403_06_00_00,ITA,Tuscania,DSC Srl,solar,deployment,initial,-,150 MW,cancelled,09-2019,NA,NA,06-2020,-,False,False,False,False
ITA-06796-07404_08_02_00,ITA,Cesena,Davi,wind,tower_manufacturing,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-03472-03887_06_03_00,ITA,Torino,Day4 Europe,solar,cell,initial,112 million BRL,-,operational,-,-,12-2016,NA,-,False,False,False,False
ITA-03472-03887_06_04_00,ITA,Torino,Day4 Europe,solar,modules,initial,112 million BRL,-,operational,-,-,-,NA,-,False,False,False,False
ITA-02680-02808_06_03_00,ITA,Saronno,Day4 Europe Srl,solar,cell,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ITA-06797-07405_04_01_00,ITA,Ossi,De Nora,hydrogen,green_hydrogen,initial,-,50 tonnes,announced,11-2024,NA,NA,NA,-,False,False,False,False
ITA-06797-07405_04_04_00,ITA,Ossi,De Nora,hydrogen,electrolysers,initial,-,50 tonnes,announced,11-2024,NA,NA,NA,-,False,False,False,False
ITA-06797-07405_06_00_00,ITA,Ossi,De Nora,solar,deployment,initial,-,-,announced,11-2024,NA,NA,NA,-,False,False,False,False
ITA-03684-07406_06_00_00,ITA,Puglia,Degennaro Group,solar,deployment,initial,-,10 MW,operational,11-2010,11-2010,11-2010,NA,-,False,False,False,False
ITA-06798-07407_06_00_00,ITA,near Tarquinia,E-Solar Srl,solar,deployment,initial,-,187 MW,announced,09-2019,NA,NA,NA,-,False,False,False,False
ITA-02264-02822_06_00_00,ITA,Sicily,ECO PV,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ITA-06799-01010_06_00_00,ITA,Loreo,EDF,solar,deployment,initial,€1 billion,12.6 MWp,actual,12-2009,12-2009,NA,NA,-,False,False,False,False
ITA-06799-01010_06_00_01,ITA,Loreo,EDF,solar,deployment,first expansion,-,-,operational,12-2009,12-2009,11-2010,NA,-,False,False,False,False
