filename,country,location,company,tech,component,phase,investment_value,capacity,status,dt_announce,dt_actual,dt_operational,dt_cancel,jobs,checked,reject-phase,finetune,share-investment,note
HRV-01279-00660_01_03_00,HRV,Zagreb,Rimac Automobilii,battery,cell_manufacturing,['initial'],,,announced,,,['NA'],,,True,True,False,False,
BEL-06487-08471_01_00_00,BEL,Seraing,CMI Group,battery,deployment,initial,,,actual,10-2018,,,,,True,False,False,False,
ITA-06900-07509_01_00_00,ITA,Northern and Central Italy,Terna,battery,deployment,initial,,['118.2 MW'],actual,['12-2020'],12-2020,,,,True,True,False,,
SWE-01027-00832_01_03_00,SWE,Skellefteå,Volkswagen,battery,cell_manufacturing,['initial'],,['14 GWh'],announced,03-2021,,['NA'],,,True,True,False,False,
FRA-00812-00596_01_03_00,FRA,['Nouvelle-Aquitaine'],Opel,battery,cell_manufacturing,['initial'],,,announced,12-2018,,['NA'],,,True,True,False,False,
SWE-01026-00582_07_02_00,SWE,Skelleftea,Northvolt,vehicle,battery_vehicle_assembly,initial,,,actual,['06-2021'],,,,,True,True,False,False,
DEU-00918-00617_01_03_02,DEU,Reutlingen,Porsche,battery,cell_manufacturing,['second expansion'],['€1 billion'],['20 GWh'],announced,06-2023,,['NA'],,,True,False,False,False,
ITA-00172-00848_01_01_00,ITA,Cesano,Vulcan Energy,battery,materials_refining,initial,,,announced,01-2022,,,,,True,False,False,False,
GBR-00225-00391_01_03_00,GBR,['Coventry'],InoBat Auto,battery,cell_manufacturing,['initial'],,,announced,02-2021,,['NA'],,,True,True,False,False,
DEU-01150-00158_01_03_00,DEU,Tübingen,Customcells,battery,cell_manufacturing,['initial'],['€60 million'],['100 MWh'],actual,12-2020,,['NA'],,,True,True,False,False,
BEL-06308-01626_01_00_00,BEL,Vilvoorde,Engie,battery,deployment,initial,,200 MW,actual,04-2023,07-2024,01-2026,,,True,False,False,False,
DEU-00755-02231_01_03_00,DEU,Munich,Factorial,battery,cell_manufacturing,['initial'],,,operational,03-2023,,['NA'],,,True,True,False,False,
FRA-00853-04377_01_03_00,FRA,Paris,Xing Mobility,battery,cell_manufacturing,['initial'],,,actual,,,['NA'],,,True,True,False,False,
DEU-00055-00876_01_03_00,DEU,['Baden-Wuerttemberg'],ZSW,battery,cell_manufacturing,['initial'],,['pilot'],operational,,,['03-2016'],,,True,False,False,False,
DEU-00456-00158_01_03_00,DEU,Heilbronn,Customcells,battery,cell_manufacturing,initial,,100 MWh,announced,09-2021,,,,,True,True,False,False,
POL-00890-00383_07_02_00,POL,Pruszkow,Impact Clean Power Technology,vehicle,battery_vehicle_assembly,['initial'],,,actual,,,['NA'],,,True,True,False,False,
DEU-00305-00284_01_04_00,DEU,Erfurt,Fraunhofer,battery,module_assembly,['initial'],,,announced,07-2020,,['NA'],,,True,True,False,False,
DEU-00418-00158_01_03_00,DEU,Gärtringen,Customcells,battery,cell_manufacturing,initial,,100 MWh,announced,09-2021,,,,,True,True,False,False,
GBR-00225-01375_01_03_00,GBR,['Coventry'],Warwick Manufacturing Group,battery,cell_manufacturing,['initial'],['80 million GBP'],,announced,11-2017,,['NA'],,,True,True,False,False,
DEU-00057-00134_01_03_00,DEU,Baden-Württemberg,Centre for Solar Energy and Hydrogen Research Baden-Württemberg,battery,cell_manufacturing,initial,12.7 million EUR,,actual,03-2020,03-2020,,,,True,True,False,False,
DEU-00213-00274_07_01_00,DEU,Cologne,Ford,vehicle,EV_component_manufacturing,initial,2 billion USD,,actual,04-2019,,,,3300,True,True,False,False,
GBR-01076-02129_01_03_01,GBR,['Sunderland'],AESC Envision,battery,cell_manufacturing,['first expansion'],,,actual,07-2021,,,,1000,True,True,False,False,
GBR-00225-00239_01_03_01,GBR,Coventry,Eve Energy,battery,cell_manufacturing,['first expansion'],[],['60 GWh'],announced,['03-2024'],,['NA'],,,True,False,False,False,
DEU-00213-00274_01_04_00,DEU,Cologne,Ford,battery,module_assembly,initial,,,operational,['04-2019'],02-2021,06-2023,,3300,True,False,False,False,
BEL-00366-00846_07_02_01,BEL,Ghent,Volvo Group,vehicle,battery_vehicle_assembly,first expansion,75 million EUR,,operational,01-2021,03-2020,10-2021,,200,True,False,False,False,
FRA-00389-00278_07_02_00,FRA,Greater Paris,Forsee Power,vehicle,battery_vehicle_assembly,['initial'],,,actual,,,['NA'],,,True,True,False,False,
DEU-00892-00769_01_03_00,DEU,['Prüm'],Tesla Grohmann Automation,battery,purchase,['initial'],,,announced,,,['NA'],,,True,False,False,False,
ROU-00229-00274_01_04_00,ROU,Craiova,Ford,battery,module_assembly,['initial'],,,announced,09-2024,,['NA'],,,True,False,False,False,
ITA-00724-02453_01_03_01,ITA,['Mirafiori'],Stellantis Group,battery,cell_manufacturing,['first expansion'],,,announced,,,['NA'],,,True,True,False,False,
GBR-00809-00114_01_03_00,GBR,Northumberland,Britishvolt,battery,cell_manufacturing,initial,,,actual,['03-2022'],,,,3000,True,True,False,False,
DEU-00854-00076_01_03_02,DEU,Parsdorf,BMW,battery,cell_manufacturing,['second expansion'],,,actual,,,['NA'],,,True,True,False,False,
NOR-00032-00540_01_03_01,NOR,Arendal,Morrow Batteries,battery,cell_manufacturing,first expansion,['470 million euros'],['43 GWh'],announced,['05-2022'],,12-2028,,,True,False,False,False,
HUN-00384-00702_01_03_00,HUN,Goed,Samsung,battery,cell_manufacturing,initial,['500 billion won'],,announced,,,,,,True,True,False,False,
AUT-01350-00927_01_03_00,AUT,Vienna,Austrian Institute of Technology,battery,cell_manufacturing,initial,4.85 million EUR,,announced,12-2022,,,,,True,True,False,False,
ITA-06735-07340_01_03_00,ITA,['Veneto'],Energy SpA,battery,cell_manufacturing,['initial'],,['600–800 batteries per day'],announced,05-2023,,['NA'],,,True,True,False,False,
FRA-00274-01424_01_03_00,FRA,Douvrin,ACC,battery,cell_manufacturing,['initial'],['1.6 billion EUR'],['13 GWh'],operational,07-2020,09-2020,['05-2023'],,,True,False,False,False,
AUT-03716-08804_01_99_00,AUT,Austrian,Enerox,battery,,initial,,,announced,,,,,,True,True,False,False,
GBR-00225-00114_07_01_00,GBR,['Coventry'],Britishvolt,vehicle,EV_component_manufacturing,['initial'],,,announced,,,['NA'],,,True,True,False,False,
FRA-00812-00602_01_03_00,FRA,['Nouvelle-Aquitaine'],PSA Group,battery,cell_manufacturing,['initial'],,,actual,09-2019,12-2019,['NA'],,,True,True,False,False,
PRT-02780-02557_08_00_00,PRT,Lisbon,Endesa,wind,deployment,initial,€600 million,,announced,05-2022,,,,,True,True,False,False,
PRT-00716-00705_01_01_00,PRT,Mina do Barroso,Savannah Resources,mine,lithium,initial,five to six billion euros,,announced,,,,,,True,False,False,False,
BEL-01729-01512_01_00_00,BEL,Oostende,Centrica,battery,deployment,initial,,24 MW/54 MWh,actual,07-2023,07-2023,03-2024,,,True,False,False,False,
DEU-00275-01952_01_04_00,DEU,Dresden,Solarwatt,battery,module_assembly,['initial'],,,announced,,,['NA'],,,True,True,False,False,
ESP-01281-00120_01_03_00,ESP,Zaragoza,CATL,battery,cell_manufacturing,initial,['€4.1 billion'],,announced,['12-2024'],,,,3000,True,True,False,,
DEU-08054-00073_01_03_00,DEU,['Tubingen'],BASF,battery,contractual,['initial'],,['100 MWh/year'],announced,07-2021,,['NA'],,,True,False,False,False,
HUN-00419-00702_01_02_00,HUN,['Göd'],Samsung,battery,battery_materials,['initial'],,['30 GWh'],actual,,,['NA'],,,True,True,False,False,
DEU-00546-00076_01_03_00,DEU,Kaiserslautern,BMW,battery,cell_manufacturing,initial,,,announced,05-2019,,,,,True,True,False,False,
CZE-00235-00367_01_04_00,CZE,Czech plant,Hyundai,battery,module_assembly,['initial'],,,announced,,,['NA'],,,True,True,False,False,
DEU-00451-00521_01_04_01,DEU,Hedelfingen,Mercedes-Benz,battery,module_assembly,['first expansion'],,,operational,06-2019,06-2019,['03-2021'],,,True,True,False,False,
POL-00268-00440_01_04_04,POL,Dolnośląskie,LG,battery,module_assembly,['fourth expansion'],,['86 GWh'],operational,,,['12-2024'],,,True,False,False,True,
ITA-02755-02908_01_00_00,ITA,Cuneo,FuturaSun,battery,deployment,initial,,,operational,,06-2021,06-2021,,,True,False,False,False,
SVK-01449-00326_01_03_00,SVK,Šurany,Gotion High Tech,battery,cell_manufacturing,['initial'],['1.23 billion euros'],['20 GWh'],actual,11-2023,12-2024,['NA'],,1000,True,True,False,False,
ITA-01352-01424_01_03_00,ITA,Termoli,ACC,battery,cell_manufacturing,initial,€2 billion,,delayed,03-2022,10-2022,,,,True,False,False,False,
SWE-01027-00582_01_03_00,SWE,Skellefteå,Northvolt,battery,cell_manufacturing,['initial'],['€1 billion'],['8 GWh'],operational,10-2017,06-2019,['12-2021'],,2500,True,False,False,False,
NOR-00603-00296_01_03_00,NOR,Kristiansand,Freyr,battery,cell_manufacturing,['initial'],,['35 GWh'],announced,11-2021,,['NA'],,,True,True,False,False,
DEU-00659-00529_07_02_00,DEU,Ludwigsfelde,Microvast,vehicle,battery_vehicle_assembly,['initial'],['43 million EUR'],['1.5 GWh'],actual,11-2019,11-2019,['NA'],,100,True,True,False,False,
DEU-00558-07319_01_03_00,DEU,Karlsruhe,Exyte Technology GmbH,battery,cell_manufacturing,initial,,,operational,,,,,,True,True,False,False,
BEL-00138-08861_02_00_00,BEL,Brussels,European Heat Pump Association,geothermal,deployment,initial,['€3 million'],,announced,,,,,,True,True,False,,
DEU-00821-00617_01_03_00,DEU,Nördlingen,Porsche,battery,cell_manufacturing,['initial'],,,operational,,,['07-2024'],,,True,False,False,False,Porsche buys Varta and the facility
BEL-02119-01420_01_00_00,BEL,Feluy,TotalEnergies,battery,deployment,initial,€70 million,75 MWh,announced,03-2024,,12-2025,,,True,False,False,False,
FRA-00274-00611_01_03_00,FRA,['Douvrin'],Peugeot,battery,cell_manufacturing,['initial'],,,actual,,,['NA'],,,True,True,False,False,
GBR-00225-00984_01_04_00,GBR,Coventry,Comau,battery,contractual,['initial'],130 million GBP,,operational,04-2021,,['02-2021'],,,True,False,False,False,
AUT-01482-00434_07_01_00,AUT,Rainbach,Kreisel Electric,vehicle,EV_component_manufacturing,initial,,,announced,,,,,,True,True,False,False,
DEU-00957-00637_01_03_00,DEU,Salzgitter,QuantumScape,battery,cell_manufacturing,['initial'],,['1 GWh'],announced,05-2021,,['NA'],,,True,True,False,False,
ESP-02199-02557_01_00_00,ESP,Mallorca,Endesa,battery,deployment,initial,,1.1 MW/5.5 MWh,operational,,,,,,True,False,False,False,
SWE-01026-00582_07_04_01,SWE,Skelleftea,Northvolt,vehicle,EV_recycling,first expansion,,,actual,,,,,,True,True,False,False,
GBR-01076-10502_01_03_00,GBR,['Sunderland'],AESC,battery,cell_manufacturing,['initial'],['£200 million'],['1.9 GWh'],operational,,,['06-2012'],,,True,False,False,False,
NOR-00737-00296_01_03_00,NOR,Mo i Rana,Freyr,battery,cell_manufacturing,['initial'],,['2 GWh'],actual,08-2019,03-2021,['07-2023'],,,True,False,False,False,
ESP-00947-00832_01_03_01,ESP,Sagunt,Volkswagen,battery,cell_manufacturing,first expansion,10 billion EUR,,actual,02-2022,03-2023,,,,True,True,False,False,
DEU-00150-00061_01_04_00,DEU,Böllinger Höfe,Audi,battery,module_assembly,['initial'],,"['1,000 battery modules per day']",announced,04-2024,,['NA'],,,True,False,False,False,
DEU-00942-00695_01_04_01,DEU,Saarland,SVOLT,battery,module_assembly,['first expansion'],,,cancelled,11-2020,,['NA'],04-2023,,True,True,False,False,
BEL-00138-03023_06_04_00,BEL,Brussels,Hydrogenics,solar,deployment,initial,,,intended,10-2019,,,,6000,True,False,True,False,
ESP-01177-00832_01_03_00,ESP,Valencia,Volkswagen,battery,cell_manufacturing,['initial'],['€10 billion'],['40 GWh'],actual,03-2023,03-2023,['NA'],,3000,True,True,False,False,
AUT-08218-08453_01_00_00,AUT,Schattendorf,Burgerland Energie,battery,deployment,initial,,300 MWh,actual,07-2023,07-2023,,,,True,False,False,False,
PRT-07393-01759_06_00_00,PRT,Graciosa,Leclanche,solar,deployment,['initial'],,,announced,04-2018,,['NA'],,,True,True,False,False,
DEU-01162-00521_01_04_00,DEU,Unterkücken,Mercedes-Benz,battery,module_assembly,['initial'],['over one billion euros'],,actual,06-2019,06-2019,['NA'],,,True,True,False,False,
LVA-00922-00042_01_04_00,LVA,Riga,Anodox Energy Systems,battery,module_assembly,initial,['50 million EUR'],,announced,['03-2022'],,12-2022,,300,True,False,False,True,
BEL-01829-01626_01_00_00,BEL,Vilvorde,Engie,battery,deployment,initial,,['200 MW'],announced,['04-2023'],,,,,True,True,False,False,
DEU-01067-00505_01_03_00,DEU,Stuttgart,Manz,battery,cell_manufacturing,['initial'],,,announced,,,['NA'],,,True,True,False,False,
ITA-01548-01296_01_03_00,ITA,Verona,Sovema Spa,battery,cell_manufacturing,initial,€4.85 million,,operational,12-2022,,,,,True,False,False,False,
SVK-00120-00722_01_04_00,SVK,Bratislava,Skoda,battery,module_assembly,['initial'],,,announced,,,['NA'],,,True,True,False,False,
SWE-01026-00582_01_05_00,SWE,Skelleftea,Northvolt,battery,recycling,initial,,,actual,,,,,,True,True,False,False,
BEL-01622-02993_06_00_00,BEL,Antwerp,Heliatek,solar,deployment,initial,,,announced,10-2017,,,,,True,True,False,False,
GBR-01076-00228_01_03_02,GBR,['Sunderland'],Envision AESC,battery,cell_manufacturing,['second expansion'],['£450 million'],,actual,12-2022,12-2022,['NA'],,,True,True,False,False,
GBR-00225-01346_01_04_02,GBR,Coventry,UK Battery Industrialisation Centre,battery,module_assembly,['second expansion'],,,actual,,,['NA'],,,True,True,False,False,
PRT-06958-01587_06_00_00,PRT,Alqueva hydropower dam,EDP,solar,deployment,initial,,5 MW,operational,,,05-2022,,,True,False,False,False,
CHE-00054-00006_01_04_00,CHE,Baden,ABB,battery,module_assembly,['initial'],,,operational,,,['06-2020'],,,True,False,False,False,
HUN-00419-00702_01_04_01,HUN,Göd,Samsung,battery,module_assembly,['first expansion'],['1.2 billion EUR'],['30 GWh'],operational,,05-2019,,,,True,False,False,True,
POL-01249-00440_01_03_02,POL,Wroclaw,LG,battery,cell_manufacturing,['second expansion'],,,actual,11-2018,,['NA'],,,True,True,False,False,
FRA-00770-01424_01_03_00,FRA,Nersac,ACC,battery,cell_manufacturing,initial,,,operational,,01-2020,03-2022,,,True,False,False,False,
DEU-01111-00120_01_03_01,DEU,Thuringia,CATL,battery,cell_manufacturing,first expansion,['1.8 billion EUR'],,operational,['07-2019'],07-2019,12-2022,,1500,True,True,False,False,
BEL-00138-06326_07_01_00,BEL,Brussels,Vrije Universiteit Brussel,vehicle,EV_component_manufacturing,initial,,,announced,,,,,,True,True,False,False,
DEU-00548-00521_01_04_01,DEU,Kamenz,Mercedes-Benz,battery,module_assembly,['first expansion'],,['40 GWh'],actual,,,['NA'],,,True,False,False,False,"500,000 battery systems = 40 GWh assuming a battery system is 80 kWh"
ESP-01099-00073_01_00_00,ESP,Tarragona,BASF,battery,recycling,initial,,,delayed,07-2023,,,,,True,False,False,False,
HUN-00820-00744_07_01_00,HUN,Nyíregyháza,Sunwoda,vehicle,EV_component_manufacturing,['initial'],['250 million EUR'],,announced,07-2023,,['NA'],,,True,True,False,False,
BEL-00138-00799_01_02_00,BEL,Brussels,Umicore,battery,battery_materials,initial,3 billion EUR,,actual,09-2022,,,,,True,True,False,False,
DEU-02604-00120_01_03_00,DEU,Thüringen,CATL,battery,cell_manufacturing,initial,['€240 million'],['14 GWh'],announced,['10-2018'],,,,600,True,True,False,False,
ESP-00068-00768_07_00_00,ESP,Barcelona,Tesla,vehicle,retail,initial,,,announced,,,,,,True,True,False,False,
DEU-00119-00768_01_03_00,DEU,Brandenburg,Tesla,battery,cell_manufacturing,initial,['4.5 to 6.0 billion USD'],,actual,['03-2019'],07-2020,,,,True,True,False,False,
ITA-01339-00912_07_02_00,ITA,Naples,Alfa Romeo,vehicle,battery_vehicle_assembly,initial,,,operational,09-2022,,09-2022,,,True,False,False,False,
HUN-00249-00521_01_04_00,HUN,Debrecen,Mercedes-Benz,battery,module_assembly,['initial'],,,announced,,,['NA'],,,True,True,False,False,
ESP-07443-01118_06_00_00,ESP,Caravaca de la Cruz,Iberdrola,solar,deployment,initial,,,actual,,,,,,True,True,False,False,
PRT-07081-07738_06_00_00,PRT,Alto Rabagão,Endesa Portugal,solar,deployment,initial,,['42.5 MW'],actual,['04-2022'],04-2022,06-2023,,,True,False,False,,
DEU-00942-00695_07_99_00,DEU,['Saarland'],SVOLT,vehicle,,['initial'],['€2 billion'],,announced,11-2020,,['NA'],,,True,True,False,False,
DEU-00094-00391_01_03_00,DEU,Berlin,InoBat Auto,battery,cell_manufacturing,initial,,20 GWh,announced,09-2023,,,,,True,True,False,False,
POL-01249-00440_07_02_03,POL,Wroclaw,LG,vehicle,battery_vehicle_assembly,['third expansion'],,,actual,,,,,,True,True,False,False,
DEU-00244-00024_01_04_01,DEU,Darmstadt,Akasol,battery,module_assembly,first expansion,['20 million EUR'],,actual,,,,,,True,True,False,False,
DEU-01111-00120_07_02_00,DEU,Thuringia,CATL,vehicle,battery_vehicle_assembly,initial,['1.8 billion EUR'],,operational,['07-2019'],07-2019,,,1500,True,True,False,False,
AUT-01482-00434_01_04_00,AUT,Rainbach,Kreisel Electric,battery,module_assembly,initial,,,operational,,09-2017,09-2017,,,True,False,False,False,
POL-00268-00440_01_04_00,POL,Dolnośląskie,LG,battery,module_assembly,['initial'],,['12 GWh'],operational,03-2016,10-2016,['NA'],,,True,False,False,True,
DEU-00546-01424_01_03_00,DEU,['Kaiserslautern'],ACC,battery,cell_manufacturing,['initial'],['€1.7 billion'],,cancelled,05-2019,01-2023,['NA'],06-2024,2000,True,False,False,False,
GBR-01037-00759_01_03_00,GBR,Somerset,Tata Group,battery,cell_manufacturing,initial,['£4 billion'],['40 GWh'],announced,['07-2023'],,,,4000,True,True,False,False,
FRA-00274-01424_07_04_00,FRA,Douvrin,ACC,vehicle,EV_recycling,['initial'],['1.6 billion EUR'],,actual,,,['NA'],,,True,True,False,False,
DEU-00119-00768_07_02_01,DEU,Brandenburg,Tesla,vehicle,battery_vehicle_assembly,first expansion,['4.5 to 6.0 billion USD'],,actual,,07-2020,,,,True,True,False,False,
DEU-00214-00274_07_02_00,DEU,Cologne-Merkenich,Ford,vehicle,battery_vehicle_assembly,initial,,,announced,06-2019,,,,,True,True,False,False,
DEU-01296-00617_01_03_01,DEU,Zuffenhausen,Porsche,battery,cell_manufacturing,['first expansion'],['250 million EUR'],,actual,,,['NA'],,,True,True,False,False,
PRT-01615-01058_01_00_00,PRT,Madeira,Fluence,battery,deployment,initial,,['15.6 MWh'],announced,['11-2021'],,,,,True,True,False,,
SVK-01449-00326_01_03_01,SVK,Šurany,Gotion High Tech,battery,cell_manufacturing,['first expansion'],['1.23 billion euros'],['20 GWh'],actual,11-2023,12-2024,['NA'],,1000,True,True,False,False,
SWE-01027-00582_01_03_01,SWE,Skellefteå,Northvolt,battery,cell_manufacturing,['first expansion'],,['32 GWh'],announced,06-2021,07-2018,,,,True,False,False,False,
ITA-01352-01424_01_03_01,ITA,Termoli,ACC,battery,cell_manufacturing,first expansion,,,cancelled,03-2022,,,,,True,True,False,False,
GBR-01377-00114_01_03_00,GBR,North East England,Britishvolt,battery,cell_manufacturing,initial,,,cancelled,,,,,,True,True,False,False,
HUN-00249-08554_01_04_00,HUN,Debrecen,Contemporary Amperex Technology Co. Ltd.,battery,module_assembly,['initial'],['€7.34 billion'],,announced,12-2022,,,,,True,True,False,False,
DEU-00659-00529_07_02_01,DEU,Ludwigsfelde,Microvast,vehicle,battery_vehicle_assembly,['first expansion'],['50 million EUR'],,operational,11-2019,11-2019,['03-2021'],,250,True,True,False,False,
DEU-00001-00254_01_03_00,DEU,['Aachen'],FEV,battery,cell_manufacturing,['initial'],,,actual,,,['NA'],,,True,True,False,False,
AUT-01482-00434_07_01_01,AUT,Rainbach,Kreisel Electric,vehicle,EV_component_manufacturing,first expansion,,,actual,09-2022,,,,,True,True,False,False,
PRT-06958-06729_01_00_00,PRT,Alqueva hydropower dam,Amorim Cork Composites,battery,deployment,initial,,,operational,05-2022,,05-2022,,,True,True,False,False,
DEU-00957-00637_01_03_01,DEU,Salzgitter,QuantumScape,battery,cell_manufacturing,['first expansion'],,['1 GWh'],announced,05-2021,,['NA'],,,True,True,False,False,
GBR-01076-00228_07_02_02,GBR,Sunderland,Envision AESC,vehicle,battery_vehicle_assembly,['second expansion'],['£1.8 billion'],,actual,06-2021,06-2021,['NA'],,,True,True,False,False,
NOR-00737-00296_01_03_01,NOR,Mo i Rana,Freyr,battery,cell_manufacturing,['first expansion'],,['29 GWh'],actual,08-2019,06-2022,['NA'],,,True,False,False,False,
GBR-01076-10502_01_03_01,GBR,['Sunderland'],AESC,battery,cell_manufacturing,['first expansion'],,,actual,07-2021,,['NA'],,,True,True,False,False,
SWE-01026-00582_07_04_00,SWE,Skelleftea,Northvolt,vehicle,EV_recycling,initial,,,actual,['06-2021'],,,,,True,True,False,False,
ESP-00947-00832_01_03_00,ESP,Sagunt,Volkswagen,battery,cell_manufacturing,initial,€3.5 billion,40 GWh,actual,02-2022,03-2023,06-2026,,3500,True,False,False,False,
SWE-01026-00832_01_03_00,SWE,Skelleftea,Volkswagen,battery,cell_manufacturing,initial,,,announced,['06-2022'],,,,,True,True,False,False,
GBR-00225-00391_01_05_00,GBR,['Coventry'],InoBat Auto,battery,recycling,['initial'],,,announced,02-2021,,['NA'],,,True,True,False,False,
GBR-00800-00012_07_01_00,GBR,['Northampton'],AMTE Power,vehicle,EV_component_manufacturing,['initial'],,,announced,,,['NA'],,,True,True,False,False,
DEU-00942-00695_01_04_00,DEU,Saarland,SVOLT,battery,module_assembly,['initial'],,,cancelled,11-2020,,['NA'],04-2023,,True,True,False,False,
BEL-00138-01131_01_02_00,BEL,Brussels,Ionway,battery,battery_materials,initial,three billion euros,,announced,10-2022,,06-2030,,,True,False,True,False,
FRA-00272-07536_01_04_00,FRA,Douai,AESC-Envision,battery,module_assembly,['initial'],,,actual,,,['NA'],,,True,True,False,False,
GRC-09648-09801_01_04_00,GRC,Astypalaia,Public Power Corp. (PPC),battery,module_assembly,['initial'],,,actual,04-2023,,['NA'],,,True,True,False,False,
BEL-00181-00728_01_03_00,BEL,Charleroi,Sonaca,battery,cell_manufacturing,initial,,,announced,['02-2023'],,12-2025,,,True,False,False,False,
DEU-00984-00582_01_03_00,DEU,Schleswig-Holstein,Northvolt,battery,cell_manufacturing,['initial'],,,actual,03-2022,03-2022,['NA'],,,True,True,False,False,
DEU-00755-00702_01_03_00,DEU,Munich,Samsung,battery,cell_manufacturing,initial,,,announced,11-2019,,,,,True,True,False,False,
DEU-00057-00790_01_03_00,DEU,['Baden-Württemberg'],Trumpf,battery,contractual,['initial'],,100 MWh,announced,07-2022,,,,,True,False,False,False,
ESP-00964-00388_01_01_00,ESP,San José,Infinity Lithium,battery,materials_refining,initial,,,announced,,,,,,True,True,False,,
SWE-01026-00582_01_05_01,SWE,Skelleftea,Northvolt,battery,recycling,first expansion,,,actual,,,,,,True,True,False,False,
AUT-00388-01320_01_01_00,AUT,Graz,TU Graz University,battery,materials_refining,initial,,,announced,['12-2020'],,,,,True,True,False,,
HUN-00419-00702_01_04_00,HUN,Göd,Samsung,battery,module_assembly,['initial'],['358 million USD'],['4 GWh'],operational,03-2016,08-2016,['05-2017'],,,True,False,False,True,
FRA-00487-00582_01_00_00,FRA,Hordain,Northvolt,battery,deployment,['initial'],,,actual,,,['NA'],,,True,True,False,False,
GBR-01376-00114_06_00_00,GBR,['Bro Tathan'],Britishvolt,solar,deployment,['initial'],,['200 MW'],cancelled,07-2020,,['NA'],,,True,False,False,False,
DEU-00298-00821_01_03_00,DEU,Ellwangen,Varta,battery,cell_manufacturing,['initial'],,,announced,,,['NA'],,,True,True,False,False,
GBR-01575-00770_01_03_00,GBR,Tilbury,Tevva,battery,cell_manufacturing,['initial'],,,announced,,,['NA'],,,True,True,False,False,
FRA-00770-01424_01_03_01,FRA,Nersac,ACC,battery,cell_manufacturing,first expansion,,,actual,09-2021,,,,,True,True,False,False,
POL-01249-00440_01_03_03,POL,Wroclaw,LG,battery,cell_manufacturing,['third expansion'],,,actual,,,['NA'],,,True,True,False,False,
DEU-01111-00120_01_03_00,DEU,Thuringia,CATL,battery,cell_manufacturing,initial,['1.8 billion EUR'],,actual,['07-2019'],07-2019,,,1500,True,True,False,False,
BEL-01210-00771_07_02_00,BEL,Walloon,Thunder Power,vehicle,battery_vehicle_assembly,initial,,,announced,10-2018,,12-2020,,,True,False,False,False,
DEU-00548-00521_01_04_00,DEU,Kamenz,Mercedes-Benz,battery,module_assembly,['initial'],['€500 million'],,operational,06-2016,06-2016,['06-2018'],,,True,False,False,False,
DEU-00384-00702_01_03_00,DEU,Goed,Samsung,battery,cell_manufacturing,initial,,,announced,,,,,,True,True,False,False,
POL-00379-00391_07_01_00,POL,['GigafactoryX'],InoBat Auto,vehicle,EV_component_manufacturing,['initial'],,['2 GWh'],announced,07-2022,,['NA'],,,True,True,False,False,
DEU-00094-00120_01_03_00,DEU,Berlin,CATL,battery,cell_manufacturing,initial,2 billion USD,,announced,05-2018,,,,,True,True,False,False,
BEL-00138-00799_01_02_01,BEL,Brussels,Umicore,battery,battery_materials,first expansion,3 billion EUR,,actual,09-2022,,,,,True,True,False,False,
PRT-07224-02557_01_00_00,PRT,"Alto Rabagão, Vila Real",Endesa,battery,deployment,initial,,,announced,,,,,,True,True,False,,
