filename,capacity,checked,company,component,country,dt_actual,dt_announce,dt_cancel,dt_operational,finetune,investment_value,jobs,location,phase,reject-phase,share-investment,status,tech
DEU-02604-00120_01_03_00,['14 GWh'],True,CATL,cell_manufacturing,DEU,,['10-2018'],,,False,['€240 million'],600,Thüringen,initial,True,False,announced,battery
ESP-00068-00768_07_00_00,,True,Tesla,retail,ESP,,,,,False,,,Barcelona,initial,True,False,announced,vehicle
DEU-00119-00768_01_03_00,,True,Tesla,cell_manufacturing,DEU,07-2020,['03-2019'],,,False,['4.5 to 6.0 billion USD'],,Brandenburg,initial,True,False,actual,battery
ITA-01339-00912_07_02_00,,True,Alfa Romeo,battery_vehicle_assembly,ITA,,09-2022,,09-2022,False,,,Naples,initial,False,False,operational,vehicle
ESP-07443-01118_06_00_00,,True,Iberdrola,deployment,ESP,,,,,False,,,Caravaca de la Cruz,initial,True,False,actual,solar
PRT-07081-07738_06_00_00,['42.5 MW'],True,Endesa Portugal,deployment,PRT,04-2022,['04-2022'],,06-2023,False,,,Alto Rabagão,initial,False,,actual,solar
DEU-00094-00391_01_03_00,20 GWh,True,InoBat Auto,cell_manufacturing,DEU,,09-2023,,,False,,,Berlin,initial,True,False,announced,battery
DEU-00244-00024_01_04_01,,True,Akasol,module_assembly,DEU,,,,,False,['20 million EUR'],,Darmstadt,first expansion,True,False,actual,battery
DEU-01111-00120_07_02_00,,True,CATL,battery_vehicle_assembly,DEU,07-2019,['07-2019'],,,False,['1.8 billion EUR'],1500,Thuringia,initial,True,False,operational,vehicle
AUT-01482-00434_01_04_00,,True,Kreisel Electric,module_assembly,AUT,09-2017,,,09-2017,False,,,Rainbach,initial,False,False,operational,battery
DEU-00546-01424_01_03_00,,True,ACC,cell_manufacturing,DEU,01-2023,05-2019,06-2024,['NA'],False,['€1.7 billion'],2000,['Kaiserslautern'],['initial'],False,False,cancelled,battery
GBR-01037-00759_01_03_00,['40 GWh'],True,Tata Group,cell_manufacturing,GBR,,['07-2023'],,,False,['£4 billion'],4000,Somerset,initial,True,False,announced,battery
DEU-00119-00768_07_02_01,,True,Tesla,battery_vehicle_assembly,DEU,07-2020,,,,False,['4.5 to 6.0 billion USD'],,Brandenburg,first expansion,True,False,actual,vehicle
DEU-00214-00274_07_02_00,,True,Ford,battery_vehicle_assembly,DEU,,06-2019,,,False,,,Cologne-Merkenich,initial,True,False,announced,vehicle
PRT-01615-01058_01_00_00,['15.6 MWh'],True,Fluence,deployment,PRT,,['11-2021'],,,False,,,Madeira,initial,True,,announced,battery
ITA-01352-01424_01_03_01,,True,ACC,cell_manufacturing,ITA,,03-2022,,,False,,,Termoli,first expansion,True,False,cancelled,battery
GBR-01377-00114_01_03_00,,True,Britishvolt,cell_manufacturing,GBR,,,,,False,,,North East England,initial,True,False,cancelled,battery
DEU-00001-00254_01_03_00,,True,FEV,cell_manufacturing,DEU,,,,['NA'],False,,,['Aachen'],['initial'],True,False,actual,battery
AUT-01482-00434_07_01_01,,True,Kreisel Electric,EV_component_manufacturing,AUT,,09-2022,,,False,,,Rainbach,first expansion,True,False,actual,vehicle
PRT-06958-06729_01_00_00,,True,Amorim Cork Composites,deployment,PRT,,05-2022,,05-2022,False,,,Alqueva hydropower dam,initial,True,False,operational,battery
GBR-01076-10502_01_03_01,,True,AESC,cell_manufacturing,GBR,,07-2021,,['NA'],False,,,['Sunderland'],['first expansion'],True,False,actual,battery
SWE-01026-00582_07_04_00,,True,Northvolt,EV_recycling,SWE,,['06-2021'],,,False,,,Skelleftea,initial,True,False,actual,vehicle
ESP-00947-00832_01_03_00,40 GWh,True,Volkswagen,cell_manufacturing,ESP,03-2023,02-2022,,06-2026,False,€3.5 billion,3500,Sagunt,initial,False,False,actual,battery
SWE-01026-00832_01_03_00,,True,Volkswagen,cell_manufacturing,SWE,,['06-2022'],,,False,,,Skelleftea,initial,True,False,announced,battery
GBR-00225-00391_01_05_00,,True,InoBat Auto,recycling,GBR,,02-2021,,['NA'],False,,,['Coventry'],['initial'],True,False,announced,battery
GBR-00800-00012_07_01_00,,True,AMTE Power,EV_component_manufacturing,GBR,,,,['NA'],False,,,['Northampton'],['initial'],True,False,announced,vehicle
BEL-00138-01131_01_02_00,,True,Ionway,battery_materials,BEL,,10-2022,,06-2030,True,three billion euros,,Brussels,initial,False,False,announced,battery
BEL-00181-00728_01_03_00,,True,Sonaca,cell_manufacturing,BEL,,,,,False,,,Charleroi,initial,False,False,announced,battery
DEU-00755-00702_01_03_00,,True,Samsung,cell_manufacturing,DEU,,11-2019,,,False,,,Munich,initial,True,False,announced,battery
DEU-00057-00790_01_03_00,,True,Trumpf,contractual,DEU,,,,,False,,,['Baden-Württemberg'],['initial'],False,False,,battery
ESP-00964-00388_01_01_00,,True,Infinity Lithium,materials_refining,ESP,,,,,False,,,San José,initial,True,,announced,battery
SWE-01026-00582_01_05_01,,True,Northvolt,recycling,SWE,,,,,False,,,Skelleftea,first expansion,True,False,actual,battery
AUT-00388-01320_01_01_00,,True,TU Graz University,materials_refining,AUT,,['12-2020'],,,False,,,Graz,initial,True,,announced,battery
GBR-01376-00114_06_00_00,['200 MW'],True,Britishvolt,deployment,GBR,,07-2020,,['NA'],False,,,['Bro Tathan'],['initial'],False,False,cancelled,solar
FRA-00770-01424_01_03_01,,True,ACC,cell_manufacturing,FRA,,09-2021,,,False,,,Nersac,first expansion,True,False,actual,battery
DEU-01111-00120_01_03_00,,True,CATL,cell_manufacturing,DEU,07-2019,['07-2019'],,,False,['1.8 billion EUR'],1500,Thuringia,initial,True,False,actual,battery
BEL-01210-00771_07_02_00,,True,Thunder Power,battery_vehicle_assembly,BEL,,10-2018,,12-2020,False,,,Walloon,initial,False,False,announced,vehicle
DEU-00384-00702_01_03_00,,True,Samsung,cell_manufacturing,DEU,,,,,False,,,Goed,initial,True,False,announced,battery
POL-00379-00391_07_01_00,['2 GWh'],True,InoBat Auto,EV_component_manufacturing,POL,,07-2022,,['NA'],False,,,['GigafactoryX'],['initial'],True,False,announced,vehicle
DEU-00094-00120_01_03_00,,True,CATL,cell_manufacturing,DEU,,05-2018,,,False,2 billion USD,,Berlin,initial,True,False,announced,battery
BEL-00138-00799_01_02_01,,True,Umicore,battery_materials,BEL,,09-2022,,,False,3 billion EUR,,Brussels,first expansion,True,False,actual,battery
PRT-07224-02557_01_00_00,,True,Endesa,deployment,PRT,,,,,False,,,"Alto Rabagão, Vila Real",initial,True,,announced,battery
GBR-08201-00114_01_03_00,,True,Britishvolt,cell_manufacturing,GBR,,['06-2022'],,,False,,,Midlands,initial,True,False,announced,battery
DEU-00119-00768_01_03_01,,True,Tesla,cell_manufacturing,DEU,07-2020,,,,False,['4.5 to 6.0 billion USD'],,Brandenburg,first expansion,True,False,actual,battery
ESP-00743-02350_01_02_00,,True,Lotte,battery_materials,ESP,,10-2023,,06-2025,False,560 billion won,,Mont-Roig del Camp,initial,False,False,announced,battery
HUN-00249-00702_01_03_00,,True,Samsung,cell_manufacturing,HUN,,08-2022,,['NA'],False,['345 million EUR'],,['Debrecen'],['initial'],True,False,actual,battery
DEU-00244-00024_01_04_00,,True,Akasol,module_assembly,DEU,,,,,False,['20 million EUR'],,Darmstadt,initial,True,False,announced,battery
DEU-01111-00120_07_02_01,,True,CATL,battery_vehicle_assembly,DEU,07-2019,['07-2019'],,12-2022,False,['1.8 billion EUR'],1500,Thuringia,first expansion,True,False,operational,vehicle
AUT-01482-00434_01_04_01,,True,Kreisel Electric,module_assembly,AUT,09-2022,09-2022,,,False,,,Rainbach,first expansion,False,False,actual,battery
DEU-00546-01424_01_03_01,,True,ACC,cell_manufacturing,DEU,10-2023,,,['NA'],False,,2000,['Kaiserslautern'],['first expansion'],True,False,actual,battery
PRT-02780-02557_04_01_00,,True,Endesa,green_hydrogen,PRT,,05-2022,,,False,€600 million,,Lisbon,initial,True,False,announced,hydrogen
ITA-01490-00455_01_05_00,"['50,000 to 70,000 tons']",True,Li-Cycle,recycling,ITA,,['05-2023'],,,False,,,Sardinia,initial,True,,announced,battery
DEU-00119-00768_07_02_00,,True,Tesla,battery_vehicle_assembly,DEU,07-2020,,,,False,['4.5 to 6.0 billion USD'],,Brandenburg,initial,True,False,actual,vehicle
AUT-00388-00821_01_03_00,,True,Varta,cell_manufacturing,AUT,,,,['NA'],False,,,['Graz'],['initial'],True,False,actual,battery
FRA-00279-00654_01_03_00,['12 GWh'],True,Renault Group,cell_manufacturing,FRA,,,,['NA'],False,,,['Dunkirk'],['initial'],True,False,announced,battery
PRT-01615-00716_01_00_00,['15.6 MWh'],True,Siemens,deployment,PRT,11-2021,['11-2021'],,,False,,,Madeira,initial,True,,actual,battery
SWE-01026-00582_01_03_00,,True,Northvolt,cell_manufacturing,SWE,,['06-2021'],,,False,,,Skelleftea,initial,True,False,actual,battery
PRT-06958-07926_01_00_00,,True,Maetel,contractual,PRT,,,,05-2022,False,,,Alqueva hydropower dam,initial,False,False,operational,battery
GBR-01574-00239_01_03_00,['20 GWh'],True,Eve Energy,cell_manufacturing,GBR,,['03-2024'],,,False,['£1 billion'],,West Midlands,initial,True,False,announced,battery
SWE-01532-01264_01_03_00,,True,Rise Research Institutes of Sweden,cell_manufacturing,SWE,,12-2022,,,False,4.85 million EUR,,Borås,initial,True,False,actual,battery
DEU-00798-00110_01_03_00,['1 GWh'],True,Bosch,cell_manufacturing,DEU,,02-2019,,['NA'],False,['250 million EUR'],,['North Rhine-Westphalia'],['initial'],True,False,announced,battery
DEU-00620-00024_07_02_01,,True,Akasol,battery_vehicle_assembly,DEU,,04-2020,,,False,10 million EUR,,Langen,first expansion,True,False,actual,vehicle
ITA-03951-01647_06_00_00,41.1 MW,True,Falck Renewables,deployment,ITA,05-2021,05-2021,,,False,,,Foggia,initial,False,False,announced,solar
ITA-02711-02013_01_00_00,,True,Unknown,deployment,ITA,,['10-2013'],,,False,,,Southern Italy,initial,True,,announced,battery
ESP-01198-00088_01_03_00,,True,Basquevolt,cell_manufacturing,ESP,06-2022,06-2022,,06-2025,False,700 million EUR,800,Vitoria-Gasteiz,initial,False,False,actual,battery
DEU-08912-00768_07_01_00,['50 GWh'],True,Tesla,EV_component_manufacturing,DEU,,,,,False,,,near Berlin,initial,True,False,announced,vehicle
BEL-00138-02082_04_01_00,,True,European Clean Hydrogen Alliance,green_hydrogen,BEL,,['09-2020'],,,False,,,Brussels,initial,True,,announced,hydrogen
PRT-07081-01587_03_00_00,,True,EDP,deployment,PRT,,,,,False,,,Alto Rabagão,initial,False,False,operational,hydroelectric
SWE-01026-00582_07_02_01,,True,Northvolt,battery_vehicle_assembly,SWE,,['06-2023'],,,False,,,Skelleftea,first expansion,True,False,actual,vehicle
BEL-01828-01626_01_00_00,100 MW,True,Engie,deployment,BEL,,04-2023,,,False,,,Kallo,initial,False,False,announced,battery
ITA-00713-07455_01_00_00,,True,MBS Consulting - Cerved Group,deployment,ITA,,,,,False,,,Milan,initial,True,False,announced,battery
PRT-00998-00582_01_01_00,"['35,000 tonnes']",True,Northvolt,materials_refining,PRT,,['12-2021'],02-2024,,False,['700 million EUR'],,Setúbal,initial,True,,cancelled,battery
FRA-00113-01424_01_03_00,,True,ACC,cell_manufacturing,FRA,,09-2021,,,False,,,Bordeaux,initial,True,False,announced,battery
DEU-00213-00274_07_01_01,,True,Ford,EV_component_manufacturing,DEU,,02-2021,,,False,,3300,Cologne,first expansion,True,False,actual,vehicle
DEU-00057-00134_01_03_01,,True,Centre for Solar Energy and Hydrogen Research Baden-Württemberg,cell_manufacturing,DEU,03-2020,03-2020,,,False,12.7 million EUR,,Baden-Württemberg,first expansion,True,False,actual,battery
GBR-01076-02129_01_03_00,,True,AESC Envision,cell_manufacturing,GBR,,01-2021,,,False,['£200 million'],1000,['Sunderland'],['initial'],True,False,actual,battery
GBR-00225-00239_01_03_00,20 GWh,True,Eve Energy,cell_manufacturing,GBR,,03-2024,,,False,£1.2 billion,6000,Coventry,initial,False,False,announced,battery
DEU-00213-00274_01_04_01,,True,Ford,module_assembly,DEU,,,,,False,,,Cologne,first expansion,True,False,actual,battery
GBR-09854-09889_01_03_00,,True,S&C Electric Europe,cell_manufacturing,GBR,,,,['NA'],False,,,['Leighton Buzzard'],['initial'],True,False,announced,battery
BEL-00366-00846_07_02_00,,True,Volvo Group,battery_vehicle_assembly,BEL,03-2020,05-2019,,10-2020,False,75 million EUR,200,Ghent,initial,False,False,operational,vehicle
DEU-00001-00832_01_03_00,,True,Volkswagen,cell_manufacturing,DEU,,,,['NA'],False,,,['Aachen'],['initial'],True,False,announced,battery
DEU-00546-00073_01_03_00,,True,BASF,cell_manufacturing,DEU,,05-2019,,,False,,,Kaiserslautern,initial,True,False,announced,battery
ITA-00724-02453_01_03_00,,True,Stellantis Group,cell_manufacturing,ITA,,,,['NA'],False,,,['Mirafiori'],['initial'],True,False,announced,battery
GBR-00809-00114_01_03_01,,True,Britishvolt,cell_manufacturing,GBR,,['03-2022'],,,False,,,Northumberland,first expansion,True,False,actual,battery
NOR-00032-00540_01_03_00,1 GWh,True,Morrow Batteries,cell_manufacturing,NOR,05-2022,06-2020,,08-2024,False,470 million EUR,,Arendal,initial,False,False,operational,battery
DEU-08054-00970_01_03_00,['100 MWh/year'],True,Cellforce,cell_manufacturing,DEU,,07-2021,,['NA'],False,,,['Tubingen'],['initial'],True,False,announced,battery
ITA-06883-07486_07_01_00,,True,Sitem Group,EV_component_manufacturing,ITA,,,,,False,,,Trevi,initial,False,False,operational,vehicle
HUN-00384-00702_01_03_01,['10 GWh'],True,Samsung,cell_manufacturing,HUN,,['08-2023'],,,False,['500 billion won'],,Goed,first expansion,True,False,actual,battery
DEU-01297-00617_07_02_00,,True,Porsche,battery_vehicle_assembly,DEU,,['09-2018'],,,False,['500 million euros'],1200,"Zuffenhausen, Stuttgart",initial,True,False,actual,vehicle
ITA-06728-07337_08_00_00,,True,Copenhagen Offshore Partners,deployment,ITA,,06-2023,,,True,,,Marsala,initial,False,False,announced,wind
FRA-00274-01424_01_03_01,,True,ACC,cell_manufacturing,FRA,,,,12-2030,False,1.6 billion EUR,,Douvrin,first expansion,False,False,announced,battery
GBR-00109-00645_01_03_00,,True,Recharge Industries,cell_manufacturing,GBR,,02-2023,,['NA'],False,,,['Blyth'],['initial'],False,False,announced,battery
DEU-00399-00440_01_03_00,,True,LG,cell_manufacturing,DEU,,10-2020,,,False,,,Grünheide,initial,True,False,announced,battery
ITA-06827-02081_01_00_00,,True,Enel,deployment,ITA,,,,,True,,,Bergamo,initial,False,False,announced,battery
ESP-01281-10501_01_03_00,,True,Stellantis CATL,cell_manufacturing,ESP,,12-2024,,12-2026,False,4.1 billion EUR,3000,Zaragoza,initial,False,False,announced,battery
ITA-05467-05905_06_00_00,32.6 MW,True,Renantis,deployment,ITA,07-2023,02-2023,,,True,,,Terzo di Aquileia,initial,False,False,actual,solar
DEU-08912-00768_01_04_00,['50 GWh'],True,Tesla,module_assembly,DEU,,,,,False,,,near Berlin,initial,True,False,announced,battery
ITA-00167-01671_01_00_00,1 MW/2 MWh,True,General Electric,deployment,ITA,05-2015,09-2015,,09-2015,False,,,Catania,initial,False,False,operational,battery
HUN-00419-00702_01_02_01,,True,Samsung,battery_materials,HUN,,02-2021,,['NA'],False,['740 million EUR'],,['Göd'],['first expansion'],True,False,actual,battery
SVK-00120-00391_07_01_00,['10 GWh'],True,InoBat Auto,EV_component_manufacturing,SVK,,06-2021,,['NA'],False,,,['Bratislava'],['initial'],True,False,announced,vehicle
NOR-01502-00540_01_03_01,,True,Morrow Batteries,cell_manufacturing,NOR,05-2022,['06-2020'],,,False,['100 million EUR'],,Agder,first expansion,True,False,actual,battery
ROU-00351-00069_07_04_00,,True,Avesta Battery and Energy Engineering,EV_recycling,ROU,,,,,False,,,Galați,initial,True,False,announced,vehicle
DEU-00399-00768_01_03_00,,True,Tesla,cell_manufacturing,DEU,12-2019,12-2019,,['NA'],False,['4 billion EUR'],3000,['Grünheide'],['initial'],True,False,actual,battery
GBR-01574-00239_01_04_00,['20 GWh'],True,Eve Energy,module_assembly,GBR,,['03-2024'],,,False,['£1 billion'],,West Midlands,initial,True,False,announced,battery
SVK-00120-00391_01_03_00,['10 GWh'],True,InoBat Auto,cell_manufacturing,SVK,,06-2021,,['NA'],False,,,['Bratislava'],['initial'],True,False,announced,battery
SWE-01026-00582_01_04_00,,True,Northvolt,module_assembly,SWE,,['06-2021'],,,False,,,Skelleftea,initial,True,False,actual,battery
FRA-03341-00824_01_03_00,['16 GWh'],True,Verkor,cell_manufacturing,FRA,,02-2021,,['NA'],False,['€1.6 billion'],,['Rodez'],['initial'],False,False,cancelled,battery
ITA-05406-02081_01_00_00,,True,Enel,deployment,ITA,,,,,False,,,Basilicata,initial,False,False,announced,battery
ESP-07223-02557_08_00_00,,True,Endesa,deployment,ESP,07-2024,,,,False,34.1 million EUR,,Aldeavieja,initial,False,False,actual,wind
ITA-06128-04455_07_02_00,"25,000 units per model per year",True,Aehra,battery_vehicle_assembly,ITA,,06-2024,,,True,1.2 billion EUR,540,Mosciano Sant'Angelo,initial,False,False,announced,vehicle
PRT-02780-02557_04_04_00,500 kW,True,Endesa,electrolysers,PRT,,05-2022,,,False,€600 million,,Lisbon,initial,True,False,announced,hydrogen
ESP-00271-00298_01_03_00,,True,Fundacion Cidetec,cell_manufacturing,ESP,12-2022,12-2022,,,False,4.85 million EUR,,Donostia-San Sebastián,initial,False,False,actual,battery
