filename,country,location,company,tech,component,phase,investment_value,capacity,status,dt_announce,dt_actual,dt_operational,dt_cancel,jobs,checked,reject-phase,finetune,share-investment,note
AUT-03716-08804_01_99_00,AUT,Austrian,Enerox,battery,NA,initial,,,announced,,NA,NA,NA,,True,True,False,False,
PRT-02780-02557_08_00_00,PRT,Lisbon,Endesa,wind,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,False,
PRT-00716-00705_01_01_00,PRT,Mina do Barroso,Savannah Resources,mine,lithium,initial,,,announced,,NA,NA,NA,,True,False,False,False,
BEL-01729-01512_01_00_00,BEL,Oostende,Centrica,battery,deployment,initial,,,actual,,07-2023,03-2024,NA,,True,False,False,False,
ESP-01281-00120_01_03_00,ESP,Zaragoza,CATL,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,3000,True,True,False,,
DEU-00546-00076_01_03_00,DEU,Kaiserslautern,BMW,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ITA-02755-02908_01_00_00,ITA,Cuneo,FuturaSun,battery,deployment,initial,,,operational,,,06-2021,NA,,True,False,False,False,
ITA-01352-01424_01_03_00,ITA,Termoli,ACC,battery,cell_manufacturing,initial,,,delayed,,10-2022,NA,,,True,False,False,False,
DEU-00558-07319_01_03_00,DEU,Karlsruhe,Exyte Technology GmbH,battery,cell_manufacturing,initial,,,operational,,,,NA,,True,True,False,False,
BEL-00138-08861_02_00_00,BEL,Brussels,European Heat Pump Association,geothermal,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,,
BEL-02119-01420_01_00_00,BEL,Feluy,TotalEnergies,battery,deployment,initial,,,announced,,NA,12-2025,NA,,True,False,False,False,
AUT-01482-00434_07_01_00,AUT,Rainbach,Kreisel Electric,vehicle,EV_component_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ESP-02199-02557_01_00_00,ESP,Mallorca,Endesa,battery,deployment,initial,,,operational,,,NA,NA,,True,False,False,False,
SWE-01026-00582_07_04_01,SWE,Skelleftea,Northvolt,vehicle,EV_recycling,first expansion,,,actual,,,NA,NA,,True,True,False,False,
ESP-00947-00832_01_03_01,ESP,Sagunt,Volkswagen,battery,cell_manufacturing,first expansion,,,actual,,03-2023,NA,NA,,True,True,False,False,
BEL-00138-03023_06_04_00,BEL,Brussels,Hydrogenics,solar,deployment,initial,,,intended,,NA,NA,NA,6000,True,False,True,False,
AUT-08218-08453_01_00_00,AUT,Schattendorf,Burgerland Energie,battery,deployment,initial,,,actual,,07-2023,NA,NA,,True,False,False,False,
LVA-00922-00042_01_04_00,LVA,Riga,Anodox Energy Systems,battery,module_assembly,initial,,,actual,,05-2022,12-2022,NA,300,True,False,False,False,
BEL-01829-01626_01_00_00,BEL,Vilvorde,Engie,battery,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ITA-01548-01296_01_03_00,ITA,Verona,Sovema Spa,battery,cell_manufacturing,initial,€4.85 million,-,operational,12-2022,NA,NA,NA,-,True,False,False,False,
SWE-01026-00582_01_05_00,SWE,Skelleftea,Northvolt,battery,recycling,initial,,,actual,,,NA,NA,,True,True,False,False,
BEL-01622-02993_06_00_00,BEL,Antwerp,Heliatek,solar,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,False,
PRT-06958-01587_06_00_00,PRT,Alqueva hydropower dam,EDP,solar,deployment,initial,,,operational,,,05-2022,NA,,True,False,False,False,
FRA-00770-01424_01_03_00,FRA,Nersac,ACC,battery,cell_manufacturing,initial,,,operational,,,01-2020,NA,,True,False,False,False,
DEU-01111-00120_01_03_01,DEU,Thuringia,CATL,battery,cell_manufacturing,first expansion,,,operational,,07-2019,12-2022,NA,1500,True,True,False,False,
BEL-00138-06326_07_01_00,BEL,Brussels,Vrije Universiteit Brussel,vehicle,EV_component_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ESP-01099-00073_01_00_00,ESP,Tarragona,BASF,battery,recycling,initial,,,delayed,,NA,NA,NA,,True,False,False,False,
BEL-00138-00799_01_02_00,BEL,Brussels,Umicore,battery,battery_materials,initial,,,actual,,,NA,NA,,True,True,False,False,
DEU-02604-00120_01_03_00,DEU,Thüringen,CATL,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,600,True,True,False,False,
ESP-00068-00768_07_00_00,ESP,Barcelona,Tesla,vehicle,retail,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00119-00768_01_03_00,DEU,Brandenburg,Tesla,battery,cell_manufacturing,initial,,,actual,,07-2020,NA,NA,,True,True,False,False,
ITA-01339-00912_07_02_00,ITA,Naples,Alfa Romeo,vehicle,battery_vehicle_assembly,initial,,,operational,,NA,09-2022,NA,,True,False,False,False,
ESP-07443-01118_06_00_00,ESP,Caravaca de la Cruz,Iberdrola,solar,deployment,initial,,,actual,,,NA,NA,,True,True,False,False,
PRT-07081-07738_06_00_00,PRT,Alto Rabagão,Endesa Portugal,solar,deployment,initial,,,actual,,04-2022,06-2023,NA,,True,False,False,,floating solar
DEU-00094-00391_01_03_00,DEU,Berlin,InoBat Auto,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00244-00024_01_04_01,DEU,Darmstadt,Akasol,battery,module_assembly,first expansion,,,actual,,,NA,NA,,True,True,False,False,
DEU-01111-00120_07_02_00,DEU,Thuringia,CATL,vehicle,battery_vehicle_assembly,initial,,,operational,,07-2019,,NA,1500,True,True,False,False,
AUT-01482-00434_01_04_00,AUT,Rainbach,Kreisel Electric,battery,module_assembly,initial,,,operational,,,09-2017,NA,,True,False,False,False,
GBR-01037-00759_01_03_00,GBR,Somerset,Tata Group,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,4000,True,True,False,False,
DEU-00119-00768_07_02_01,DEU,Brandenburg,Tesla,vehicle,battery_vehicle_assembly,first expansion,,,actual,,07-2020,NA,NA,,True,True,False,False,
DEU-00214-00274_07_02_00,DEU,Cologne-Merkenich,Ford,vehicle,battery_vehicle_assembly,initial,,,announced,,NA,NA,NA,,True,True,False,False,
PRT-01615-01058_01_00_00,PRT,Madeira,Fluence,battery,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,,
ITA-01352-01424_01_03_01,ITA,Termoli,ACC,battery,cell_manufacturing,first expansion,,,cancelled,,NA,NA,,,True,True,False,False,
GBR-01377-00114_01_03_00,GBR,North East England,Britishvolt,battery,cell_manufacturing,initial,,,cancelled,,NA,NA,,,True,True,False,False,
AUT-01482-00434_07_01_01,AUT,Rainbach,Kreisel Electric,vehicle,EV_component_manufacturing,first expansion,,,actual,,,NA,NA,,True,True,False,False,
PRT-06958-06729_01_00_00,PRT,Alqueva hydropower dam,Amorim Cork Composites,battery,deployment,initial,,,operational,,,05-2022,NA,,True,True,False,False,
SWE-01026-00582_07_04_00,SWE,Skelleftea,Northvolt,vehicle,EV_recycling,initial,,,actual,,,NA,NA,,True,True,False,False,
ESP-00947-00832_01_03_00,ESP,Sagunt,Volkswagen,battery,cell_manufacturing,initial,,,actual,,03-2023,06-2026,NA,3500,True,False,False,False,
SWE-01026-00832_01_03_00,SWE,Skelleftea,Volkswagen,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
BEL-00138-01131_01_02_00,BEL,Brussels,Ionway,battery,battery_materials,initial,,,announced,,,06-2030,NA,,True,False,True,False,
BEL-00181-00728_01_03_00,BEL,Charleroi,Sonaca,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,False,False,False,
DEU-00755-00702_01_03_00,DEU,Munich,Samsung,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ESP-00964-00388_01_01_00,ESP,San José,Infinity Lithium,battery,materials_refining,initial,,,announced,,NA,NA,NA,,True,True,False,,
SWE-01026-00582_01_05_01,SWE,Skelleftea,Northvolt,battery,recycling,first expansion,,,actual,,,NA,NA,,True,True,False,False,
AUT-00388-01320_01_01_00,AUT,Graz,TU Graz University,battery,materials_refining,initial,,,announced,,NA,NA,NA,,True,True,False,,
FRA-00770-01424_01_03_01,FRA,Nersac,ACC,battery,cell_manufacturing,first expansion,,,actual,,,NA,NA,,True,True,False,False,
DEU-01111-00120_01_03_00,DEU,Thuringia,CATL,battery,cell_manufacturing,initial,,,actual,,07-2019,NA,NA,1500,True,True,False,False,
BEL-01210-00771_07_02_00,BEL,Walloon,Thunder Power,vehicle,battery_vehicle_assembly,initial,,,announced,,NA,12-2020,NA,,True,False,False,False,
DEU-00384-00702_01_03_00,DEU,Goed,Samsung,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00094-00120_01_03_00,DEU,Berlin,CATL,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
BEL-00138-00799_01_02_01,BEL,Brussels,Umicore,battery,battery_materials,first expansion,,,actual,,,NA,NA,,True,True,False,False,
PRT-07224-02557_01_00_00,PRT,"Alto Rabagão, Vila Real",Endesa,battery,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,,
GBR-08201-00114_01_03_00,GBR,Midlands,Britishvolt,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00119-00768_01_03_01,DEU,Brandenburg,Tesla,battery,cell_manufacturing,first expansion,,,actual,,07-2020,NA,NA,,True,True,False,False,
ESP-00743-02350_01_02_00,ESP,Mont-Roig del Camp,Lotte,battery,battery_materials,initial,,,announced,,NA,06-2025,NA,,True,False,False,False,
DEU-00244-00024_01_04_00,DEU,Darmstadt,Akasol,battery,module_assembly,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-01111-00120_07_02_01,DEU,Thuringia,CATL,vehicle,battery_vehicle_assembly,first expansion,,,operational,,07-2019,12-2022,NA,1500,True,True,False,False,
AUT-01482-00434_01_04_01,AUT,Rainbach,Kreisel Electric,battery,module_assembly,first expansion,,,actual,,09-2022,NA,NA,,True,False,False,False,
PRT-02780-02557_04_01_00,PRT,Lisbon,Endesa,hydrogen,green_hydrogen,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ITA-01490-00455_01_05_00,ITA,Sardinia,Li-Cycle,battery,recycling,initial,,,announced,,NA,NA,NA,,True,True,False,,
DEU-00119-00768_07_02_00,DEU,Brandenburg,Tesla,vehicle,battery_vehicle_assembly,initial,,,actual,,07-2020,NA,NA,,True,True,False,False,
PRT-01615-00716_01_00_00,PRT,Madeira,Siemens,battery,deployment,initial,,,actual,,11-2021,NA,NA,,True,True,False,,
SWE-01026-00582_01_03_00,SWE,Skelleftea,Northvolt,battery,cell_manufacturing,initial,,,actual,,,NA,NA,,True,True,False,False,
PRT-06958-07926_01_00_00,PRT,Alqueva hydropower dam,Maetel,battery,contractual,initial,,,operational,,,05-2022,NA,,True,False,False,False,
GBR-01574-00239_01_03_00,GBR,West Midlands,Eve Energy,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
SWE-01532-01264_01_03_00,SWE,Borås,Rise Research Institutes of Sweden,battery,cell_manufacturing,initial,,,actual,,,NA,NA,,True,True,False,False,
DEU-00620-00024_07_02_01,DEU,Langen,Akasol,vehicle,battery_vehicle_assembly,first expansion,,,actual,,,NA,NA,,True,True,False,False,
ITA-03951-01647_06_00_00,ITA,Foggia,Falck Renewables,solar,deployment,initial,,41.1 MW,announced,05-2021,05-2021,NA,NA,,True,False,False,False,
ITA-02711-02013_01_00_00,ITA,Southern Italy,Unknown,battery,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,,
ESP-01198-00088_01_03_00,ESP,Vitoria-Gasteiz,Basquevolt,battery,cell_manufacturing,initial,,,actual,,06-2022,06-2025,NA,800,True,False,False,False,
DEU-08912-00768_07_01_00,DEU,near Berlin,Tesla,vehicle,EV_component_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
BEL-00138-02082_04_01_00,BEL,Brussels,European Clean Hydrogen Alliance,hydrogen,green_hydrogen,initial,,,announced,,NA,NA,NA,,True,True,False,,
PRT-07081-01587_03_00_00,PRT,Alto Rabagão,EDP,hydroelectric,deployment,initial,,,operational,,NA,NA,NA,,True,False,False,False,
SWE-01026-00582_07_02_01,SWE,Skelleftea,Northvolt,vehicle,battery_vehicle_assembly,first expansion,,,actual,,,NA,NA,,True,True,False,False,
BEL-01828-01626_01_00_00,BEL,Kallo,Engie,battery,deployment,initial,,,announced,,NA,NA,NA,,True,False,False,False,
ITA-00713-07455_01_00_00,ITA,Milan,MBS Consulting - Cerved Group,battery,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,False,
PRT-00998-00582_01_01_00,PRT,Setúbal,Northvolt,battery,materials_refining,initial,,,cancelled,,NA,NA,02-2024,,True,True,False,,
FRA-00113-01424_01_03_00,FRA,Bordeaux,ACC,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00213-00274_07_01_01,DEU,Cologne,Ford,vehicle,EV_component_manufacturing,first expansion,,,actual,,,NA,NA,3300,True,True,False,False,
DEU-00057-00134_01_03_01,DEU,Baden-Württemberg,Centre for Solar Energy and Hydrogen Research Baden-Württemberg,battery,cell_manufacturing,first expansion,,,actual,,03-2020,NA,NA,,True,True,False,False,
GBR-00225-00239_01_03_00,GBR,Coventry,Eve Energy,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,6000,True,False,False,False,
DEU-00213-00274_01_04_01,DEU,Cologne,Ford,battery,module_assembly,first expansion,,,actual,,,NA,NA,,True,True,False,False,
BEL-00366-00846_07_02_00,BEL,Ghent,Volvo Group,vehicle,battery_vehicle_assembly,initial,,,operational,,03-2020,10-2020,NA,,True,False,False,False,
DEU-00546-00073_01_03_00,DEU,Kaiserslautern,BASF,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
GBR-00809-00114_01_03_01,GBR,Northumberland,Britishvolt,battery,cell_manufacturing,first expansion,,,actual,,,NA,NA,,True,True,False,False,
NOR-00032-00540_01_03_00,NOR,Arendal,Morrow Batteries,battery,cell_manufacturing,initial,,,operational,,05-2022,08-2024,NA,,True,False,False,False,
ITA-06883-07486_07_01_00,ITA,Trevi,Sitem Group,vehicle,EV_component_manufacturing,initial,,,operational,,NA,NA,NA,,True,False,False,False,
HUN-00384-00702_01_03_01,HUN,Goed,Samsung,battery,cell_manufacturing,first expansion,,,actual,,,NA,NA,,True,True,False,False,
DEU-01297-00617_07_02_00,DEU,"Zuffenhausen, Stuttgart",Porsche,vehicle,battery_vehicle_assembly,initial,,,actual,,,NA,NA,1200,True,True,False,False,
ITA-06728-07337_08_00_00,ITA,Marsala,Copenhagen Offshore Partners,wind,deployment,initial,,,announced,06-2023,,NA,NA,,True,False,True,False,
FRA-00274-01424_01_03_01,FRA,Douvrin,ACC,battery,cell_manufacturing,first expansion,,,announced,,,12-2030,NA,,True,False,False,False,
DEU-00399-00440_01_03_00,DEU,Grünheide,LG,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ITA-06827-02081_01_00_00,ITA,Bergamo,Enel,battery,deployment,initial,,,announced,,NA,NA,NA,,True,False,True,False,
ESP-01281-10501_01_03_00,ESP,Zaragoza,Stellantis CATL,battery,cell_manufacturing,initial,,,announced,,NA,12-2026,NA,3000,True,False,False,False,
ITA-05467-05905_06_00_00,ITA,Terzo di Aquileia,Renantis,solar,deployment,initial,-,32.6 MW,actual,02-2023,07-2023,NA,NA,-,True,False,True,False,
DEU-08912-00768_01_04_00,DEU,near Berlin,Tesla,battery,module_assembly,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ITA-00167-01671_01_00_00,ITA,Catania,General Electric,battery,deployment,initial,,,operational,,05-2015,09-2015,NA,,True,False,False,False,
NOR-01502-00540_01_03_01,NOR,Agder,Morrow Batteries,battery,cell_manufacturing,first expansion,,,actual,,05-2022,NA,NA,,True,True,False,False,
ROU-00351-00069_07_04_00,ROU,Galați,Avesta Battery and Energy Engineering,vehicle,EV_recycling,initial,,,announced,,NA,NA,NA,,True,True,False,False,
GBR-01574-00239_01_04_00,GBR,West Midlands,Eve Energy,battery,module_assembly,initial,,,announced,,NA,NA,NA,,True,True,False,False,
SWE-01026-00582_01_04_00,SWE,Skelleftea,Northvolt,battery,module_assembly,initial,,,actual,,,NA,NA,,True,True,False,False,
ITA-05406-02081_01_00_00,ITA,Basilicata,Enel,battery,deployment,initial,,,announced,,NA,NA,NA,,True,False,False,False,
ESP-07223-02557_08_00_00,ESP,Aldeavieja,Endesa,wind,deployment,initial,,,actual,,07-2024,NA,NA,,True,False,False,False,
ITA-06128-04455_07_02_00,ITA,Mosciano Sant'Angelo,Aehra,vehicle,battery_vehicle_assembly,initial,,"25,000 units per model per year",announced,,NA,NA,NA,540,True,False,True,False,
PRT-02780-02557_04_04_00,PRT,Lisbon,Endesa,hydrogen,electrolysers,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ESP-00271-00298_01_03_00,ESP,Donostia-San Sebastián,Fundacion Cidetec,battery,cell_manufacturing,initial,,,actual,,12-2022,NA,NA,,True,False,False,False,
ITA-04511-05858_01_04_00,ITA,Sant'Angelo di Piove di Sacco,Pylontech,battery,module_assembly,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ROU-00351-00069_01_05_01,ROU,Galați,Avesta Battery and Energy Engineering,battery,recycling,first expansion,,,announced,,NA,NA,NA,,True,True,False,False,
GBR-00225-00988_01_03_00,GBR,Coventry,Coventry Airport,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
BEL-00366-09151_08_00_00,BEL,Ghent,Storm,wind,deployment,initial,,,actual,,,NA,NA,,True,False,False,False,
PRT-04066-05154_01_00_00,PRT,Evora,GreenYellow,battery,deployment,initial,,,actual,,,NA,NA,,True,True,False,False,
FRA-00113-01424_01_04_00,FRA,Bordeaux,ACC,battery,module_assembly,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00213-00274_01_03_01,DEU,Cologne,Ford,battery,cell_manufacturing,first expansion,,,actual,,,NA,NA,,True,False,False,False,
DEU-01311-00970_07_02_00,DEU,near Stuttgart,Cellforce,vehicle,battery_vehicle_assembly,initial,,,actual,,,NA,NA,,True,True,False,False,
PRT-07224-02557_06_00_00,PRT,"Alto Rabagão, Vila Real",Endesa,solar,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,,
HUN-00249-00658_01_03_00,HUN,Debrecen,Rimac,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00620-00024_07_01_00,DEU,Langen,Akasol,vehicle,EV_component_manufacturing,initial,,,actual,,05-2017,NA,NA,,True,True,False,False,
DEU-01150-08707_06_00_00,DEU,Tübingen,Eberhard Karls University of Tübingen,solar,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,False,
GBR-08202-00114_01_03_00,GBR,North-east England,Britishvolt,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
BEL-00830-00063_01_00_00,BEL,Olen,Aurubis,battery,recycling,initial,,,announced,,NA,NA,NA,,True,False,False,False,
DEU-00213-00274_07_02_00,DEU,Cologne,Ford,vehicle,battery_vehicle_assembly,initial,,,operational,,02-2021,06-2024,NA,3300,True,False,False,True,
FRA-01587-00824_01_03_00,FRA,South of France,Verkor,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
ESP-01198-00088_07_01_00,ESP,Vitoria-Gasteiz,Basquevolt,vehicle,EV_component_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-08912-00768_01_03_00,DEU,near Berlin,Tesla,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
BEL-00366-00846_01_04_01,BEL,Ghent,Volvo Group,battery,module_assembly,first expansion,,,actual,,,05-2022,NA,,True,False,False,False,
HUN-07910-02598_01_00_00,HUN,Békéscsaba,AEG,battery,deployment,initial,,,actual,,08-2020,12-2020,NA,,True,False,False,False,
ITA-03951-01647_01_00_00,ITA,Foggia,Falck Renewables,battery,deployment,initial,,,actual,05-2021,05-2021,NA,NA,,True,False,True,False,
BEL-00138-00799_01_01_00,BEL,Brussels,Umicore,battery,materials_refining,initial,,,actual,,,NA,NA,,True,True,False,False,
HUN-00249-08554_01_03_00,HUN,Debrecen,Contemporary Amperex Technology Co. Ltd.,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
LVA-00922-00042_07_02_00,LVA,Riga,Anodox Energy Systems,vehicle,battery_vehicle_assembly,initial,,,announced,,NA,NA,NA,300,True,True,False,False,
ROU-00351-00069_01_03_00,ROU,Galați,Avesta Battery and Energy Engineering,battery,cell_manufacturing,initial,,,announced,,NA,06-2026,NA,8000,True,False,False,False,
PRT-07081-02776_06_00_00,PRT,Alto Rabagão,Ciel & Terre,solar,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00942-00695_01_03_00,DEU,Saarland,SVOLT,battery,cell_manufacturing,initial,,,cancelled,,NA,NA,04-2023,,True,False,False,False,
DEU-00119-00768_07_01_01,DEU,Brandenburg,Tesla,vehicle,EV_component_manufacturing,first expansion,,,actual,,07-2020,NA,NA,,True,True,False,False,
PRT-01784-01587_01_00_00,PRT,Alqueva,EDP,battery,deployment,initial,,,actual,,,NA,NA,,True,True,False,False,
BEL-00181-00728_01_04_00,BEL,Charleroi,Sonaca,battery,module_assembly,initial,,,announced,,NA,NA,NA,,True,False,True,False,
DEU-00546-00602_01_03_00,DEU,Kaiserslautern,PSA Group,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,2000,True,True,False,False,
BEL-01622-01420_01_00_00,BEL,Antwerp,TotalEnergies,battery,deployment,initial,,,actual,,05-2023,12-2024,NA,,True,False,False,False,
DEU-00244-00024_07_02_01,DEU,Darmstadt,Akasol,vehicle,battery_vehicle_assembly,first expansion,,,actual,,,NA,NA,,True,True,False,False,
FRA-00770-01424_01_04_01,FRA,Nersac,ACC,battery,module_assembly,first expansion,,,actual,,,NA,NA,,True,True,False,False,
FRA-01586-00824_07_02_00,FRA,Near Dunkerque,Verkor,vehicle,battery_vehicle_assembly,initial,,,actual,,,NA,NA,,True,True,False,False,
DEU-00755-00702_07_01_00,DEU,Munich,Samsung,vehicle,EV_component_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-01111-00120_01_04_00,DEU,Thuringia,CATL,battery,module_assembly,initial,,,actual,,07-2019,NA,NA,1500,True,True,False,False,
DEU-00094-00120_01_04_00,DEU,Berlin,CATL,battery,module_assembly,initial,,,announced,,NA,NA,NA,,True,True,False,False,
NLD-00018-01154_01_00_00,NLD,Amsterdam,Kryha,battery,deployment,initial,,,announced,,NA,NA,NA,,True,True,False,False,
DEU-00244-00024_01_03_00,DEU,Darmstadt,Akasol,battery,cell_manufacturing,initial,,,actual,,,,NA,,True,True,False,False,
ESP-00947-00832_07_01_00,ESP,Sagunt,Volkswagen,vehicle,EV_component_manufacturing,initial,,,actual,,02-2022,NA,NA,3500,True,True,False,False,
ITA-00167-01118_06_00_00,ITA,Catania,Iberdrola,solar,deployment,initial,,242.78 MWp,operational,01-2024,,01-2025,NA,,True,False,False,False,
DEU-00546-00596_01_03_00,DEU,Kaiserslautern,Opel,battery,cell_manufacturing,initial,,,actual,,,NA,NA,2000,True,True,False,False,
BEL-00138-02082_04_04_00,BEL,Brussels,European Clean Hydrogen Alliance,hydrogen,electrolysers,initial,,,announced,,NA,NA,NA,,True,True,False,,
DEU-00037-08554_01_03_00,DEU,Arnstadt,Contemporary Amperex Technology Co. Ltd.,battery,cell_manufacturing,initial,,,actual,,01-2019,NA,NA,,True,True,False,False,
DEU-00558-01143_01_03_01,DEU,Karlsruhe,Karlsruhe Institute of Technology,battery,cell_manufacturing,first expansion,,,operational,,,,NA,,True,True,False,False,
DEU-00454-07323_01_03_00,DEU,Heide,Northvolt Germany,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
GBR-00225-00988_01_05_00,GBR,Coventry,Coventry Airport,battery,recycling,initial,,,announced,,NA,NA,NA,,True,True,False,False,
BEL-00138-00799_01_01_01,BEL,Brussels,Umicore,battery,materials_refining,first expansion,,,actual,,,NA,NA,,True,True,False,False,
DEU-01585-00821_01_03_00,DEU,Nordlingen,Varta,battery,cell_manufacturing,initial,,,actual,,06-2020,NA,NA,1000,True,True,False,False,
DEU-00341-00261_01_03_00,DEU,Frickenhausen,Farasis Energy,battery,cell_manufacturing,initial,,,announced,,NA,NA,NA,,True,True,False,False,
